ID da Venda,Data da Venda,Preço,Preço Original,Desconto Aplicado,Produto,Categoria,Marca,Canal de Venda,Região,Nome do Funcionário,Quantidade de Vendas,Quantidade em Estoque,Avaliação
V000001,2023-04-15,84.71,98.64,13.93,Adaptador Bluetooth,Acessórios,Belkin,Venda Direta,Centro-Oeste,Ana Costa,96,108,3.8
V000002,2023-12-21,141.69,155.2,13.51,Teclado,Periféricos,Multilaser,Venda Direta,Nordeste,Fernanda Alves,3,4,4.7
V000003,2024-12-20,257.63,263.94,6.31,Webcam,Periféricos,HP,Loja Física,Centro-Oeste,Eduardo Rocha,81,168,4.8
V000004,2023-01-14,382.81,492.56,109.75,Microfone,Áudio e Vídeo,JBL,Loja Física,Centro-Oeste,Ana Costa,100,198,3.5
V000005,2023-09-10,60.25,65.19,4.94,Pen Drive,Armazenamento,Kingston,Loja Física,Sudeste,Carlos Silva,50,51,2.7
V000006,2024-10-16,220.86,232.13,11.27,SSD,Armazenamento,Western Digital,Venda Direta,Centro-Oeste,Ana Costa,24,149,3.5
V000007,2023-08-26,6460.03,7691.04,1231.01,Tablet,Eletrônicos,LG,Loja Física,Sudeste,Daniela Souza,75,96,4.6
V000008,2024-04-08,5870.83,6387.56,516.73,Placa de Vídeo,Componentes,Intel,Venda Direta,Norte,Bruno Lima,46,154,2.9
V000009,2024-12-25,1336.89,1770.7,433.81,Câmera,Áudio e Vídeo,Philips,E-commerce,Centro-Oeste,Bruno Lima,31,155,4.4
V000010,2023-05-13,76.42,78.16,1.74,Teclado,Periféricos,HP,Loja Física,Centro-Oeste,Fernanda Alves,49,50,3.0
V000011,2024-05-08,61.69,72.48,10.79,Mouse,Periféricos,Dell,Venda Direta,Sudeste,Bruno Lima,25,3,3.8
V000012,2024-10-14,654.43,881.74,227.31,Estabilizador,Componentes,NVIDIA,E-commerce,Centro-Oeste,Fernanda Alves,100,40,2.1
V000013,2023-03-03,6328.59,8289.53,1960.94,Placa de Vídeo,Componentes,Intel,E-commerce,Sul,Ana Costa,50,193,2.8
V000014,2024-09-09,760.83,814.94,54.11,Caixa de Som,Áudio e Vídeo,Philips,Marketplace,Sudeste,Eduardo Rocha,20,95,2.6
